Name,Part ID,Qty,Notes
AC In Car Sensor,C42433,1,
Accelerator Cable,CBC9760,1,
Accelerator Cable - 2,CBC9768,1,
Accelerator Throttle Kickdown Switch,C335509,1,
Anti Roll Bar Drop Links,C42907,2,
Banjo Bolt,C440853,1,
Borg & Beck Fuel Filter,BFF 8116,1,
Bosch 12v Relay,0 332 019 109 896,1,
Bosch Fuel Filter,F 5264,1,
Bump Stop Ft Suspension,C43790,4,
CTek Metallic Brake Pads,102.01350,1,
Ceramic Brake Pads,D 8009 OC,1,Original Performance
Crank Damper,EAC9693,1,Jaguar; also known as a Harmonic Balancer
Dayco Thermostat 82 Deg,DT79A,1,
Door Seal Rubber,BAC6019,1,
Eurospare Water Rail Gasket,EBC 9634x,6,
Flasher / Hazard Unit,0-774-62,1,Flasher / Hazard Unit 2 + 1/6 x 21W 12 volt
Front Bumper Suspension Lower Stop,CCC3927,2,
Front Engine Mount,MMB7520A,3,
Front quarter light (vent) window rubber seal,BD44773,1,
Fuel filter,333033,1,Fuel Filter - Wix
Fulcrum Shaft,JLM11859,2,
Gaskets,?,,Unidentified gaskets
Grommets,C779900E,1,Unknown item? Maybe BMW?
Ignition Rotor Arm,JLM 8624 X,1,
Lucas 4FP Fuel Pump,73202A,1,
Napa Hose Radiator Lower,Napa 7737,2,
Oil Pressure Sender,C46272,1,Oil pressure sender - uro 005250
Outer Doorglass Seal,BD46440 / 3,1,
Parking Brake Pad,,4,
Radiator Crossmember Seal,BBC4454,1,
Radiator Flush Tee Cap,47121,1,
Rear exhaust mounting bracket,CBC5451,2,
Sunroof Seal,JLM849,1,
Thermostat,233-180,1,82 deg
Thermostat Gasket,EBC 8330,1,
Throttle Cable,C35387/1,1,
Two-bolt exhaust flange gasket,EBC10199,10,
Unknown Rubber Pipes,,,
V12 Water Connecting Pipe,C42595,2,
Vacuum Modulator,SUM-G110,1,Summit adjustable vacuum modulator for GM TH-350 & TH-400 transmissions
Walbro Fuel Pump,GSL392,1,
